Post Link	Date	Time	Message	Reactions	Comment	Shares	Clicks	Impressions	Engagement Rate %	Click Through Rate	Post id	Post Type	New Followers from posts
"HaystackAnalytics
Oct 30, 12:53"	30-10-2025	12:53	"Leading experts are talking about diagnostic innovation that’s faster, comprehensive, and cost-effective. ?? Meet these experts at MICROCON 2025 and attend sessions to explore the innovation transforming infectious disease diagnostics. ?? 31st October 2025 | ?? Convention Hall 1B ??? Panel Discussion: Rewriting the Diagnostic Playbook in Infectious Diseases ?? 6:20 PM – 7:00 PM Expert Speakers : Dr. Anirvan Chatterjee Dr Bansidhar Tarai, Dr. Aruna Poojary, Dr. Nilma Hirani , Dr. Siddhant Shetty ? Also featuring an exclusive talk by Dr Mahua Das Gupta (Kapoor), Director, Medical Affairs (Infectious Diseases), HaystackAnalytics Pvt. Ltd ?? Topic: Reimagining Genomics | ? 6:00 PM – 6:20 PM Abhimanyuu Nambisan Mohammad Umair Dr. Nidhi G. Gopal Singh Saamir Rehman Koyel Ghosh Simran Malik Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Gitesh Srivastava Vivek Singh Rathore Rijul Pulikkal #MICROCON2025 #InfectiousDiseases #Diagnostics #Innovation #Sequencing #HaystackAnalytics"	24	0	4	12	"1,275"	3.14	0.94	53	Video	0
"HaystackAnalytics
Nov 04, 12:34"	04-11-2025	12:34	"Collaboration for a Healthier Tomorrow. HaystackAnalytics joins hands with Immunoshop to advance the clinical adoption of infexn® NGS across India at MICROCON 2025. Together, we’re transforming how infectious diseases are diagnosed — combining Haystack’s genomic innovation with Immunoshop’s diagnostic reach to make precision testing a clinical reality. This collaboration marks a key step toward strengthening India’s infectious disease diagnostic ecosystem, ensuring that precision healthcare is accessible to clinicians and patients across the country. Gaurav Srivastava Anirvan Chatterjee Manoj Monga Dr Mahua Das Gupta (Kapoor) Abhimanyuu Nambisan Mohammad Umair Dr. Nidhi G. Inder Rawat Saamir Rehman Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Simran Malik Koyel Ghosh Simone Jetha Gitesh Srivastava Anupama Pradeepkumar Namith N Rijul Pulikkal Raghu Raaj Shriya Gupte #Healthcare #PublicHealth #Diagnostic #Genomics #Collaboration #InfectiousDiseases"	39	0	3	541	"2,298"	25.37	23.54	54	Carousel	2
"HaystackAnalytics
Nov 05, 13:49"	05-11-2025	13:49	A microbe with a built-in compass? ?? ???????????????????????????????? ???????????????????? doesn’t just follow Earth’s magnetic field — it might one day help guide cancer treatments too. Nature’s navigator turned medical innovator. Abhimanyuu Nambisan Pranav Godse Shuja A. siddharth sasane Rohan S SALVI Gitesh Srivastava Anupama Pradeepkumar Namith N Vivek Singh Rathore Mohammad Umair Gopal Singh masoom siddiqui Rijul Pulikkal #Healthcare #PublicHealth #Sciencefun #Biology #Microbiology	32	0	5	24	"1,051"	5.8	2.28	55	Video	2
"HaystackAnalytics
Nov 05, 14:04"	05-11-2025	14:04	"MICROCON 2025 — From Conventional to Genomics-Driven Diagnostics. ?? At this year’s event, infexn NGS took center stage — redefining infectious disease diagnostics with speed, accuracy, and clinical impact. From thought-provoking sessions and expert panel discussions to engaging conversations with clinicians and microbiologists, the momentum was truly inspiring. The event also marked a strategic partnership with Immunoshop, strengthening our mission to make genomics-driven diagnostics accessible to clinicians and laboratories across India. Overall, MICROCON 2025 was a celebration of science, collaboration, and innovation — bringing us one step closer to transforming infection care through genomics. Gaurav Srivastava Anirvan Chatterjee Manoj Monga Immunoshop Mohammad Umair Dr. Nidhi G. Vivek Singh Rathore masoom siddiqui Saamir Rehman Simone Jetha Dr Mahua Das Gupta (Kapoor) Koyel Ghosh Simran Malik Abhimanyuu Nambisan Inder Rawat #MICROCON2025 #HaystackAnalytics #infexnNGS #Immunoshop #InfectiousDiseases #Genomics #ClinicalDiagnostics #PrecisionMedicine #HealthcareInnovation #Microbiology #PublicHealth #HealthCare"	23	0	3	454	"1,548"	31.01	29.33	56	Carousel	1
"HaystackAnalytics
Nov 06, 08:05"	06-11-2025	08:05	"Celebrating creativity, innovation, and insights at MICROCON 2025! ?? We proudly recognize the winners of the Microblog Contest — ??Dr. Kevin Joseph, Maulana Azad Medical College, Senior Resident ??Dr. DEEPAK KOCHER , AIIMS, New Delhi, Phd Scholar ??Mansi Suri, Manav Rachna International Institute of Research and Studies Each winner brought a unique perspective on Next-Gen Diagnostics: From Hypothesis Intense to High-Throughput, capturing how innovation and scientific thoughts are shaping the future of infectious disease detection and precision diagnostics. Their voices truly embody the spirit of progress in diagnostic science. Simran Malik Simone Jetha Koyel Ghosh Mohammad Umair Dr. Nidhi G. Vivek Singh Rathore #MICROCON2025 #MicroblogContest #DiagnosticsInnovation #NextGenDiagnostics #Microbiology #PrecisionMedicine #InnovationInHealthcare #HaystackAnalytics"	26	2	2	755	"2,272"	34.55	33.23	57	Carousel	3
"HaystackAnalytics
Nov 10, 11:08"	10-11-2025	11:08	"Insightful discussions took center stage at the Round Table Meet held at HBS Hospital, Shivaji Nagar. Experts shared perspectives on Sepsis management, early detection using infexn NGS, and the power of genomics with identifi. The session highlighted how technology and collaboration are transforming healthcare outcomes. Together, we’re advancing the future of personalized, precise and proactive care Gitesh Srivastava Koushik Koujalagi Dr.R D PONMUDI Pharm.D Dr SHAMSHUZOHA M HBS Hospital Abhimanyuu Nambisan Anupama Pradeepkumar Namith N #RoundTableMeet #HealthcareInnovation #HealthCare #PublicHealth #HaystackAnalytics #infexn #identifi"	19	0	1	22	882	4.76	2.49	58	Static	0
"HaystackAnalytics
Nov 10, 13:37"	10-11-2025	13:37	"From infection detection to genomic insights — we’re redefining how pediatric health challenges are approached. Our advanced solutions, FLU-NGS, FEVER-NGS, and DGx Pediatric Screening, empower healthcare professionals with rapid, actionable insights for better clinical decisions. Redefining care. Reimagining the future of pediatric health with advanced genomics. Vivek Singh Rathore Koyel Ghosh Yasmeen Kauser Abhimanyuu Nambisan #PediatricHealth #GenomicDiagnostics #ClinicalInnovation #PrecisionMedicine #HealthcareTransformation #NextGenDiagnostics"	13	0	0	177	"1,219"	15.59	14.52	59	Carousel	0
"HaystackAnalytics
Nov 11, 15:23"	11-11-2025	15:23	"When a strong heart becomes too thick, it’s not just muscle — it’s a message. Hypertrophic Cardiomyopathy (HCM) is often a silent genetic condition caused by mutations in MYH7 and MYBPC3 genes, affecting families across generations. With DGx Cardio Screening, early detection becomes possible through a simple genetic test that identifies inherited risks, guides treatment, and enables cascade testing for families. Empowering clinicians and individuals to act early, live freely, and safeguard future generations through the power of genomics. Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI Gitesh Srivastava Anupama Pradeepkumar Mohammad Umair Rijul Pulikkal Vivek Singh Rathore Namith N Gopal Singh #CardioGenomics #PrecisionMedicine #HealthcareInnovation #GeneticTesting #HeartHealth"	17	0	1	329	"1,253"	27.69	26.26	60	Carousel	0
"HaystackAnalytics
Nov 12, 07:57"	12-11-2025	07:57	"This World Pneumonia Day 2025, themed “Child Survival,” we’re reminded that every breath matters. Every 43 seconds, pneumonia claims a young life — a life that could have been saved through timely detection and accurate diagnosis. Pneumonia remains one of the world’s most preventable yet deadly infections in children. With infexn-NGS, we’re redefining how infections are identified — using advanced genomic solutions for faster, more precise results. Let’s take a step forward this World Pneumonia Day to ensure no breath goes unnoticed and no life is lost to late detection. Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI siddharth sasane Gitesh Srivastava Anupama Pradeepkumar Namith N Vivek Singh Rathore Mohammad Umair Rijul Pulikkal #WorldPneumoniaDay #PneumoniaAwareness #NextGenDiagnostics #ChildHealth #PrecisionMedicine #Infexn #HaystackAnalytics"	9	0	0	9	547	3.29	1.65	61	Static	0
"HaystackAnalytics
Nov 12, 12:04"	12-11-2025	12:04	"Pneumonia continues to be the world’s leading cause of infectious disease for children, claiming more lives each year than malaria, HIV, and measles combined. Yet, it often begins silently — with mild symptoms that resemble a common flu. By the time it’s recognized, it can rapidly progress to respiratory distress, sepsis, or even death, especially in children under five. infexn NGS changes the game with early and precise detection. Our direct-from-sample genomic solution, enables timely and accurate diagnosis within 24 hours, identifying both the pathogen and AMR genes to guide targeted therapy. Early diagnosis doesn’t just treat pneumonia — it prevents lives from being lost too soon. Abhimanyuu Nambisan Pranav Godse siddharth sasane Mohammad Umair Gitesh Srivastava Rohan S SALVI Vivek Singh Rathore Rijul Pulikkal #WorldPneumoniaDay #ChildHealth #GenomicDiagnostics #HealthcareInnovation #PrecisionMedicine #INFEXN #NextGenDiagnostics"	12	0	2	131	809	17.92	16.19	62	Carousel	0
"HaystackAnalytics
Nov 12, 13:15"	12-11-2025	13:15	"Mutation ? Always Bad. It’s simply a change in your DNA sequence — a natural variation that shapes who we are. While some mutations may cause diseases, others define our individuality, drive evolution, and enable adaptation. Understanding these genetic variations is key to advancing personalized healthcare. With identifi we explore how genomic insights empower early detection, proactive prevention, and a deeper understanding of what makes each of us truly unique. Abhimanyuu Nambisan Pranav Godse siddharth sasane Gitesh Srivastava Mohammad Umair Vivek Singh Rathore Rijul Pulikkal Anupama Pradeepkumar Namith N #Personalisedcare #Proactivecare #HealthCare #PublicHealth #PrecisionMedicine #GeneticTesting #EarlyDetection #InnovationInHealth"	11	0	1	352	"1,316"	27.66	26.75	63	Carousel	0
"HaystackAnalytics
Nov 13, 13:47"	13-11-2025	13:47	"Round Table Meet | Apollo Hospital Banglore An insightful knowledge exchange at Apollo Hospital, Seshadripuram, where clinical expertise meets cutting-edge diagnostics. This Round Table Meet brought together Dr. Koushik Koujalagi and Dr Himaaldev G J to explore how infexn- NGS powered by Next Generation Sequencing (NGS) is reshaping the future of infectious disease diagnosis. From faster turnaround to data-driven insights, NGS is empowering clinicians to make precise, more confident decisions for better patient outcomes. Abhimanyuu Nambisan Gitesh Srivastava Anupama Pradeepkumar Namith N Apollo Hospitals #NGS #InfectiousDiseases #HaystackAnalytics #infexnNGS #Healthcare #PublicHealth #PrecisionMedicine"	18	0	1	13	966	3.31	1.35	64	Static	2
"HaystackAnalytics
Nov 13, 14:45"	13-11-2025	14:45	"You share 99.9% of your DNA with every human on earth. It’s the remaining 0.1% difference that defines your unique traits, sensitivities, appearance — and even your health risks. These small variations influence how your genes work and how your body responds to the world around you. From physical characteristics to disease predisposition, your DNA holds in depth insights into your wellbeing. With identifi's genetic testing solutions, we decode these insights to support early detection, proactive prevention, and better lifestyle decisions. Abhimanyuu Nambisan Pranav Godse Rohan S SALVI Shuja A. siddharth sasane Mohammad Umair Vivek Singh Rathore Gitesh Srivastava Rijul Pulikkal Gopal Singh #EverydayGenetics #GenomicScience #PrecisionMedicine #EarlyDetection #PreventiveHealthcare #InnovationInHealth"	24	0	2	374	"1,447"	27.64	25.85	65	Carousel	0
"HaystackAnalytics
Nov 15, 11:35"	15-11-2025	11:35	"RTM | Navachetana Hospital, Bengaluru At our Round Table Meet hosted at Navachethana Hospital, Bengaluru, Koushik Koujalagi led an insightful session on how Next Generation Sequencing (NGS) is transforming infection detection. From identifying accurate pathogens to delivering faster and more precise results, infexn® - NGS is reshaping the way clinicians diagnose and manage infectious diseases — empowering them with deeper clarity and confident decision-making. Gitesh Srivastava Anupama Pradeepkumar Namith N Abhimanyuu Nambisan #infexn #PublicHealth #Diagnostics #HealthcareInnovation #HaystackAnalytics #Healthcare"	21	0	1	31	"1,081"	4.9	2.87	66	Static	0
"HaystackAnalytics
Nov 18, 14:42"	18-11-2025	14:42	"Antimicrobial Resistance: No more a silent pandemic ?? Dr. Simran Malik, Medical Science Liaison, shares critical insights on AMR, revealing the global statistics and emphasizing the profound future impact of this crisis. This was Dr. Simran's 1-Minute on AMR. Now, it's your turn. Share your minute and be part of the solution! Simran Malik Dr Mahua Das Gupta (Kapoor) Simone Jetha Abhimanyuu Nambisan Pranav Godse siddharth sasane Rohan S SALVI Shuja A. Gitesh Srivastava Anupama Pradeepkumar Namith N Mohammad Umair Vivek Singh Rathore Gopal Singh Rijul Pulikkal Raghu Raaj Gaurav Srivastava #AMR #AntimicrobialResistance #PublicHealth #GlobalHealth"	66	2	8	187	"2,860"	9.2	6.54	67	Video	1
"HaystackAnalytics
Nov 19, 07:18"	19-11-2025	07:18	Happy Men's Day . #MensDay #MensDay2025 Gaurav Srivastava Abhimanyuu Nambisan Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Gitesh Srivastava Namith N Mohammad Umair Vivek Singh Rathore Gopal Singh Amrutraj Zade	47	0	3	59	"1,211"	9	4.87	68	Static	2
"HaystackAnalytics
Nov 19, 07:47"	19-11-2025	07:47	"infexn®NGS made a meaningful impact at ACM 2025, bringing advanced infectious disease diagnostics to the forefront. Throughout the event, Dr. Nithin K engaged with clinicians, explaining how next-generation sequencing enables deeper pathogen detection, faster turnaround, and more confident clinical decision-making. By bridging technology with real clinical needs, infexn®NGS continues to support healthcare professionals in delivering precision-driven patient care. Akhil V Rijul Pulikkal Abhimanyuu Nambisan #ACM2025 #NextGenerationSequencing #infexnNGS #ClinicalMicrobiology #InfectiousDiseaseDiagnostics #HealthcareInnovation #PrecisionMedicine #HaystackAnalytics"	29	0	2	81	"1,318"	8.5	6.15	69	Static	0
"HaystackAnalytics
Nov 19, 10:24"	19-11-2025	10:24	"NGS Workshop 2025: Advancing Diagnostic Excellence An insightful, power-packed day where healthcare professionals explored how Next-Generation Sequencing is transforming infectious disease diagnostics. From understanding sample preparation and sequencing workflows to interpreting complex data — the workshop offered a complete 360° view of applying NGS in real clinical practice. The expert-led sessions, interactive discussions, and hands-on learning empowered participants to take meaningful steps toward faster, more precise, and culture-free diagnostics. A heartfelt thank you to our participants — Dr. Karan Indra Ostwal, Dr Anushree K. , Jyoti Dilip Sinol, and Dr. Poulami Biswas — for your enthusiastic involvement and meaningful engagement throughout the workshop. Special thanks to our Scientific Team — Amrutraj Zade Shailesh B. Lad, Ph.D. Rameez M. J. Jagruti Kharat, Samidha Patil, Shreeom Rane and the entire technical group — for leading the knowledge sessions and ensuring scientific excellence throughout the workshop. And a big shoutout to Pranali Dongre Akhil Bhalerao Nilava Banerjee Mahesh Dhule Satyam Mishra Mayank Roy Simran Malik for flawlessly executing the event and making the experience seamless and impactful for every participant. #NGSWorkshop #Genomics #HealthCare #Diagnostics #PublicHealth"	48	2	2	"1,240"	"2,746"	47.05	45.16	70	Carousel	0
"HaystackAnalytics
Nov 21, 11:04"	21-11-2025	11:04	"NGS Innovations Driving the Future of Infectious Disease & Pediatric Genetics At the recent Round Table Meet held at Aster CMI Hospital, Bengaluru, clinicians and medical leaders discussed how advanced Next-Generation Sequencing (NGS) is reshaping patient care. Dr. Shreya Shettar shared an impactful overview of how infexn® NGS is enabling faster, clearer, and more precise diagnosis of infectious diseases—empowering clinicians with actionable insights that improve treatment accuracy. Dr.R D PONMUDI Pharm.D highlighted the critical role of DGx Pediatric Screening and Whole Exome Sequencing in providing early genetic answers, helping clinicians adopt a proactive approach to pediatric healthcare and long-term disease management. This session reinforced our commitment to advancing precision medicine, strengthening clinical decision-making, and bringing high-impact genomics closer to everyday healthcare. ?? Transforming diagnostics today. Enabling precision care for tomorrow. Abhimanyuu Nambisan Gitesh Srivastava Namith N Anupama Pradeepkumar Harish Gowda Koushik Koujalagi #HaystackAnalytics #NGS #Genomics #InfectiousDiseases #PediatricHealth #infexn #DGx #ClinicalInsights #HealthcareInnovation #WholeExomeSequencing #MedicalScience"	37	0	3	60	"1,523"	6.57	3.94	71	Static	1
"HaystackAnalytics
Nov 21, 15:00"	21-11-2025	15:00	"The VRE outbreak at Christchurch Hospital highlights a critical reality in clinical settings — colonisation often precedes detection, and multiple strains can emerge before symptoms ever appear. Such events reinforce the need to integrate high-resolution genomic surveillance into routine IPC strategy. Culture-based methods alone may miss asymptomatic carriers and early transmission chains. A culture-free, NGS-based approach — such as infexn™ NGS — can rapidly identify Enterococci species and resistance markers like VanA/VanB within 24 hours, supporting data-driven containment and antimicrobial stewardship. Early detection is no longer early — it’s the most responsible clinical step forward. Abhimanyuu Nambisan Pranav Godse siddharth sasane Rohan S SALVI Shuja A. Gitesh Srivastava Anupama Pradeepkumar Namith N Rijul Pulikkal Raghu Raaj Claire Sherwood RNZ #AntimicrobialResistance #AMRWeek #Genomics #Infectiousdiseases #HealthCare #PublicHealth"	30	0	6	749	"2,307"	34.03	32.47	72	Carousel	2
"HaystackAnalytics
Nov 25, 15:19"	25-11-2025	15:19	"The Titanic is vanishing — eaten by a deep-sea bacterium. Meet ?????????????????? ?????????????????? — a salt-loving, iron-feeding microbe thriving in the Atlantic’s icy depths. It forms rusticles that slowly corrode the ship… But researchers see potential: this bacterium could help naturally break down old ships & oil rigs. From wreckage to cleaner oceans. ???? ?? Follow for more microbial marvels! #microbiology #sciencefacts #MicrobialWorld #EnvironmentalBiotech #MarineBiology #NGS #Genomics Abhimanyuu Nambisan Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Mohammad Umair Gitesh Srivastava Anupama Pradeepkumar Namith N Vivek Singh Rathore Rijul Pulikkal Raghu Raaj"	16	0	2	25	"1,070"	4.02	2.34	73	Video	0
"HaystackAnalytics
Nov 28, 12:37"	28-11-2025	12:37	"Understanding disease risk requires looking beyond lifestyle. A significant number of health conditions have a genetic basis, while others are strongly influenced by environment and lifestyle factors and most diseases involve both. Genetic testing empowers individuals and clinicians to: ? Identify silent genetic predispositions ? Enable early intervention ? Guide personalised prevention strategies ?? At identifi, our genetic insights help individuals make informed health decisions before symptoms appear. Your genes inform. Your choices influence. Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI siddharth sasane Mohammad Umair Gitesh Srivastava Rijul Pulikkal Raghu Raaj Anupama Pradeepkumar #GeneticsMadeSimple #HealthAwareness #InheritedVsAcquired #PreventiveHealth #GeneticTesting #Identifi # #EarlyDetection #LifestyleMatters #HealthEducation"	27	0	7	771	"1,863"	43.21	41.38	74	Carousel	3
"HaystackAnalytics
Dec 01, 13:12"	01-12-2025	13:12	"Familial Hypercholesterolemia (FH) is a heritable disorder where LDL levels stay elevated from birth — often without symptoms. Despite lifestyle efforts, these individuals remain at high cardiovascular risk, especially in their 30s and 40s. Why FH needs early attention: Caused by mutations in LDLR, APOB, or PCSK9 Often undiagnosed until cardiac events occur Early detection enables treatment and family screening Genetic testing helps identify at-risk individuals early, enabling timely intervention and effective risk management. Let’s shift from reactive treatment to proactive prevention. Genetic insights can change outcomes. Abhimanyuu Nambisan Pranav Godse Rohan S SALVI siddharth sasane Mohammad Umair Vivek Singh Rathore Gitesh Srivastava Rijul Pulikkal Dr.R D PONMUDI Pharm.D Koushik Koujalagi #PreventiveDiagnostics #GenomicMedicine #Genetics #Healthcare #PublicHealth #ClinicalGenetics #PrecisionHealth #GeneticTesting #EarlyDetection #PersonalisedMedicine #identifi #HealthcareInnovation"	23	0	3	533	"1,872"	29.86	28.47	75	Carousel	2
"HaystackAnalytics
Dec 05, 05:45"	05-12-2025	05:45	"CME | Yatharth Hospital, Delhi Transforming infectious disease diagnostics with infexn NGS. An engaging CME at Yatharth Hospital where Dr. Koyel Ghosh walked clinicians through real infection cases, demonstrating how sequencing-based diagnostics bring clarity when conventional methods fall short. The session highlighted how infexn® NGS helps clinicians detect pathogens faster, interpret complex cases, and make confident clinical decisions. Vivek Singh Rathore Mohammad Umair Abhimanyuu Nambisan Dr. Nidhi G. masoom siddiqui Gopal Singh ashish pandey Inder Rawat Sachin Sharma Sayed Yusuf, Kunwar Pal Singh #HealthCare #PublicHealth #Diagnostic #Genomics #infexnNGS #InfectiousDiseases"	21	0	1	31	845	6.27	3.67	76	Static	0
"HaystackAnalytics
Dec 05, 13:07"	05-12-2025	13:07	"RTM | Madhukar Rainbow Children’s Hospital Exploring the impact of genomics in newborn screening. At Madhukar Rainbow Children’s Hospital, Dr. Yasmeen Kauser shared how genomics is reshaping pediatric healthcare — from identifying inherited genetic risks to guiding timely interventions. She discussed how DGx Pediatric Screening offers a comprehensive look into a newborn’s genetic health, giving clinicians and families the confidence to intervene early and guide proactive care. Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Gopal Singh masoom siddiqui Inder Rawat #HealthCare #PublicHealth #Diagnostic #Genomics #pediatriccare"	12	0	1	27	807	4.96	3.35	77	Static	0
"HaystackAnalytics
Dec 06, 14:12"	06-12-2025	14:12	"We’re delighted to welcome Rajarshi Mukherjee as our National Head – Oncology & Rare Diseases. With over 23 years of experience in oncology-focused commercial leadership, Rajarshi has consistently built, scaled, and strengthened high-impact business units across India and neighbouring markets. His expertise spans Business Operations, P&L management, strategic planning, and market expansion, supported by a strong ability to drive KOL engagement and forge meaningful industry partnerships. We’re excited to have his leadership and vision as we continue advancing next-generation diagnostics and delivering greater value to clinicians, partners, and patients. #Announcement #NGS #Genomics #Diagnostics #HealthCare #PublicHealth"	112	16	2	419	"6,460"	8.5	6.49	78	Static	14
"HaystackAnalytics
Dec 08, 10:27"	08-12-2025	10:27	"Advancing precision diagnostics and proactive care with Next-Generation Sequencing. The RTM brought together valuable perspectives from Dr. Shreya Shettar and Dr. R D PONMUDI, exploring how genomic tools are reshaping clinical decision-making. Insights spanned sequencing-based infectious disease solutions such as infexn-NGS, FLU-NGS, and FEVER-NGS, along with broader health and therapy-guiding applications supported by Health Assessment Test and PGx Comprehensive. The session highlighted how these technologies collectively contribute to a more informed, timely, and proactive approach to patient care. Gitesh Srivastava Anupama Pradeepkumar Namith N #HealthCare #PublichHealth #Genomics #InfectiousDiseases #Diagnostics"	42	1	2	108	"1,931"	7.92	5.59	79	Static	0
"HaystackAnalytics
Dec 08, 13:30"	08-12-2025	13:30	"CME | Aggarsain International Hospital Infectious disease diagnostics powered by Next-Generation Sequencing. At Aggarsain International Hospital, Dr. Koyel Ghosh led an insightful CME on the growing role of sequencing in identifying complex and atypical infections. The session highlighted how infexn NGS, FEVER NGS, and FLU-NGS enable clinicians to detect a broad range of pathogens with higher precision — supporting faster diagnosis, clearer clinical decisions, and improved patient outcomes. Mohammad Umair Vivek Singh Rathore Dr. Nidhi G. Inder Rawat masoom siddiqui #HealthCare #PublicHealth #Genomics #Diagnostics #InfectiousDiseases"	11	0	0	20	862	3.6	2.32	80	Static	1
"HaystackAnalytics
Dec 10, 12:02"	10-12-2025	12:02	"RIPSSCON 2025 | Delhi At RIPSSCON 2025, our Delhi Sales Team connected with clinicians to discuss the growing role of infexn®-NGS in infectious disease management. The conversations highlighted how sequencing brings accuracy, depth, and actionable clarity to complex infection cases empowering better patient care. Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Inder Rawat masoom siddiqui Gopal Singh #HealthCare #PublicHealth #Diagnostics #Genomics"	24	0	0	72	"1,194"	8.04	6.03	81	Static	0
"HaystackAnalytics
Dec 12, 14:57"	12-12-2025	14:57	"FREE WEBINAR ALERT! Unlock the next frontier of metagenomics! Join us for a power-packed session diving into advanced metagenomic approaches—from exploring resistance gene cassettes to leveraging long-range amplicon sequencing techniques that are shaping the future of microbial research. ?? Speakers: Dr. Amrutraj Zade, Head of R&D, HaystackAnalytics Rakeshkumar Yadav, PhD, Postdoctoral Researcher, Division of Soil & Water Management, KU Leuven, Belgium ?? 23rd December, 2025 ?? 3:30 PM Don’t miss this opportunity to learn from leading experts and broaden your understanding of cutting-edge sequencing science. ?? Register Now to secure your spot! https://lnkd.in/dyz5Gwhx Inder Rawat Ranjan K. Abhimanyuu Nambisan Pranav Godse siddharth sasane Rohan S SALVI Gitesh Srivastava #Genomics #Metagenomics #sequencing #NGS #microbiology #biotechnology"	53	0	12	160	"2,743"	8.2	5.83	82	Static	0
"HaystackAnalytics
Dec 15, 12:51"	15-12-2025	12:51	"Advancing infectious disease diagnostics with Next-Generation Sequencing. At the Round Table Meet held at SL Raheja Hospital, Dr. Siddhant Shetty shared clinical insights on how infexn® NGS enhances pathogen detection and supports more informed decision-making in complex infectious disease cases. An engaging discussion highlighting the growing role of sequencing in modern clinical practice. Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI siddharth sasane #RoundTableMeet #InfectiousDiseases #NextGenerationSequencing #NGS #infexn #ClinicalDiagnostics #HaystackAnalytics #Healthcare #PublicHealth"	20	0	1	23	836	5.26	2.79	83	Static	0
"HaystackAnalytics
Dec 15, 13:30"	15-12-2025	13:30	"Long QT Syndrome (LQTS) is an inherited cardiac rhythm disorder that affects the heart’s electrical activity, increasing the risk of syncope, seizures, and sudden cardiac arrest — often in individuals with no prior symptoms. Most cases are linked to pathogenic variants in genes such as KCNQ1, KCNH2, and SCN5A, which regulate cardiac ion channels and electrical signaling. Why early genetic detection matters: ? Identifies individuals at risk before clinical events occur ? Enables timely clinical management ? Facilitates cascade screening for family members Genetic testing plays a critical role in shifting care from event-driven response to preventive cardiology. Know your heart’s rhythm. Protect your heart’s future. Abhimanyuu Nambisan Pranav Godse siddharth sasane Rohan S SALVI Shuja A. Mohammad Umair Vivek Singh Rathore Gopal Singh masoom siddiqui Gitesh Srivastava Anupama Pradeepkumar Namith N Rijul Pulikkal Raghu Raaj #LongQTSyndrome #InheritedHeartDisease #GeneticHeartHealth #HeartHealthAwareness #GeneticTesting #PreventiveHealthcare  #EarlyDetection #identifi #PrecisionHealth"	13	0	1	254	"1,120"	23.93	22.16	84	Carousel	0
"HaystackAnalytics
Dec 16, 05:35"	16-12-2025	05:35	"Advancing Respiratory Pathogen Detection in High-AQI Conditions Rising AQI levels are linked to a surge in respiratory symptoms, often overlapping with infectious presentations and complicating diagnosis—especially in vulnerable populations. During such periods, early and accurate pathogen identification becomes critical to avoid misdiagnosis and delayed treatment. FLU-NGS supports diagnostic confidence in high-AQI settings by enabling comprehensive detection of respiratory pathogens, helping clinicians make informed decisions when conventional methods may be limited. Abhimanyuu Nambisan Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Gitesh Srivastava Anupama Pradeepkumar Namith N Rijul Pulikkal Raghu Raaj Mohammad Umair Vivek Singh Rathore Dr. Nidhi G. masoom siddiqui Gopal Singh #AirQuality #RespiratoryInfections #AQI #Diagnostics #FLUNGS #NGS #InfectiousDiseases #ClinicalMicrobiology #PublicHealth #PrecisionDiagnostics"	21	0	1	260	"1,068"	26.4	24.42	85	Carousel	0
"HaystackAnalytics
Dec 16, 12:55"	16-12-2025	12:55	"?? Free Webinar | 1 Week to Go Join us for an expert-led webinar on New Frontiers in Metagenomics, exploring resistance gene cassettes and advanced sequencing approaches shaping the future of microbial research. ??? Speakers: Dr. Amrutraj Zade – Head of R&D, HaystackAnalytics Dr. Rakeshkumar Yadav, PhD – Postdoctoral Researcher, KU Leuven, Belgium ?? 23 December 2025 | ? 03:30 PM IST ?? Register now : https://lnkd.in/dyz5Gwhx Ranjan K. Abhimanyuu Nambisan Pranav Godse Rohan S SALVI Gitesh Srivastava Shuja A. Mohammad Umair Vivek Singh Rathore Rijul Pulikkal Raghu Raaj #Metagenomics #seqeuencing #genomics #microbiology #NGS #healthcare #publichealth"	33	0	2	102	"2,286"	5.99	4.45	86	Static	0
"HaystackAnalytics
Dec 17, 13:12"	17-12-2025	13:12	"Rewriting the diagnostic playbook in infectious diseases. This RTM, held in association with the Indian Society of Critical Care Medicine (ISCCM), brought together leading voices to discuss how innovation and advanced diagnostics are transforming infectious disease management. With expert insights from Dr Mahua Das Gupta (Kapoor), Dr Noopur Kedare and Dr. Vijay Kulkarni, the discussion highlighted the growing impact of NGS-based advanced diagnostics in improving diagnostic accuracy, addressing complex infections, and enabling more informed clinical decision-making. A collaborative exchange that underscored the role of genomics in shaping the future of infectious disease diagnostics. Abhimanyuu Nambisan Shuja A. Rohan S SALVI siddharth sasane Pranav Godse Gitesh Srivastava Mohammad Umair Vivek Singh Rathore Rijul Pulikkal Raghu Raaj #Healthcare #PublicHealth #Diagnostics #InfectiousDiseases #Genomics"	34	0	8	409	"1,772"	25.45	24.3	87	Carousel	0
